Price,Close,High,Low,Open,Volume,MA20,MA50
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2023-01-03,123.09603881835938,128.83401910387516,122.21024188035268,128.22380927578908,112117500,134.06807403564454,140.40874572753907
2023-01-04,124.36566925048828,126.62937150933897,123.10587260552037,124.8873030948284,89113600,133.07057151794433,140.00194747924806
2023-01-05,123.04682159423828,125.7534186864637,122.79093054834856,125.12352032753697,80962700,132.19019012451173,139.52593139648437
2023-01-06,127.57418823242188,128.2336117453076,122.91884655664052,124.02117217456781,87754700,131.63311996459962,139.0836688232422
2023-01-09,128.09580993652344,131.30436630158056,127.83991897613902,128.4107665197256,70790800,131.0179817199707,138.7105972290039
2023-01-10,128.66668701171875,129.18832083166095,126.09787998496417,128.20410381019116,63896200,130.45550155639648,138.43835906982423
2023-01-11,131.38316345214844,131.40283698381694,128.40098644639082,129.17851145026387,69458900,129.91418380737304,138.00545989990235
2023-01-12,131.30442810058594,132.14100375978632,129.3655188993163,131.7670114136582,71379600,129.3207015991211,137.61815093994142
2023-01-13,132.633056640625,132.7905349401524,129.5819934315568,129.9461488585014,57809700,128.90486755371094,137.31027770996093
2023-01-17,133.7944793701172,135.12316348796887,132.01304876349633,132.70199775252627,63646600,128.8773109436035,137.1360757446289
2023-01-18,133.07598876953125,136.42232060237055,132.8988218980733,134.6605787592018,69672800,128.91175994873046,137.06836120605467
2023-01-19,133.135009765625,134.09953801753062,131.65868457644117,131.9637893793328,58280400,129.05447082519532,137.0071420288086
2023-01-20,135.6940155029297,135.84165708820683,132.1016288639502,133.14489665420894,80223600,129.3285758972168,136.98647399902345
2023-01-23,138.88284301757812,141.05796890647485,135.7235002594527,135.9400291721196,81760300,129.60710830688475,137.01816589355468
2023-01-24,140.2804412841797,140.90050277108796,138.08564168128757,138.0954784443646,66435100,130.1139808654785,137.16894805908203
2023-01-25,139.62103271484375,140.18202862963406,136.61916767862735,138.6663409653264,65799300,130.6060890197754,137.07032958984374
2023-01-26,141.6878662109375,141.97328249331738,139.6603668579937,140.91032647908082,54105100,131.29159660339354,136.95734130859375
2023-01-27,143.62677001953125,144.9062550377642,140.82176076743906,140.90049992434123,70555800,132.27039947509766,136.91108276367189
2023-01-30,140.7430419921875,143.2527985417942,140.59541543784155,142.6721140707524,64015300,132.92933349609376,136.77250549316406
2023-01-31,142.0126953125,142.0619091768315,140.03442411726166,140.44779354531312,65874500,133.63600234985353,136.68392639160157
2023-02-01,143.1346435546875,144.29602720051471,139.08952688042356,141.69769542128986,77663600,134.63793258666993,136.5797952270508
2023-02-02,148.4396209716797,148.79392468833726,145.83143680858885,146.54991104174482,118339000,135.84163017272948,136.57054412841796
2023-02-03,152.06155395507812,154.89610423261004,145.49682718195612,145.6936676139042,154357300,137.2923667907715,136.69829559326172
2023-02-06,149.33526611328125,150.6836538403975,148.4002628109197,150.1620199448286,69858300,138.38042068481445,136.72880645751954
2023-02-07,152.20916748046875,152.7800151967711,148.26246234257331,148.26246234257331,83322600,139.58608856201172,136.79927612304687
2023-02-08,149.522216796875,152.14023713020924,148.7840541853079,151.45128836300464,64120100,140.62886505126954,136.87427337646486
2023-02-09,148.4888153076172,151.89421276586904,148.04592065726195,151.35289040745275,56007100,141.48414764404296,137.00517364501954
2023-02-10,148.85353088378906,149.17882019931434,147.08909918660703,147.32567733632254,57450700,142.36160278320312,137.20340545654298
2023-02-13,151.6529541015625,152.05708767351098,148.76478808797367,148.79435847028975,62199000,143.31259765625,137.32259185791017
2023-02-14,151.01226806640625,151.5741355635304,148.7056873791277,149.9476888936107,61707600,144.17348709106446,137.42345275878907
2023-02-15,153.11183166503906,153.27940219693946,150.6968215839401,150.92353288699502,65573800,145.17527923583984,137.57614715576173
2023-02-16,151.51498413085938,154.09756497312395,151.16012443154224,151.3178281549916,68167900,146.09427795410156,137.72013244628906
2023-02-17,150.37155151367188,150.81512239489066,148.69583093968438,150.17441057100683,59144100,146.82815475463866,137.9144744873047
2023-02-21,146.35968017578125,149.1394173925265,146.29068760704538,148.05511953332274,58867200,147.20199661254884,138.06735626220703
2023-02-22,146.7835235595703,147.80866542554767,145.0585140913541,146.74408634882758,51011300,147.52715072631835,138.19505523681642
2023-02-23,147.2665252685547,148.1931042440918,145.1373820304515,147.94667430552937,48394200,147.9094253540039,138.34205993652344
2023-02-24,144.6149444580078,145.0880857046954,143.6390765358812,145.0092263234326,55469600,148.05577926635743,138.39016845703125
2023-02-27,145.80763244628906,147.03978187039664,145.3443430595537,145.60063976593545,44998500,148.16482238769532,138.44283966064452
2023-02-28,145.30494689941406,146.95109701970668,144.7332276594082,144.95008720013072,50547000,148.39291763305664,138.52994384765626
2023-03-01,143.23489379882812,145.12747337658178,142.93917494961042,144.73319160488182,55479000,148.45402755737305,138.7077294921875
2023-03-02,143.82635498046875,144.61493369350907,141.8450488958328,142.31820514818978,52238100,148.4886131286621,138.93651641845702
2023-03-03,148.87326049804688,148.9521198871165,145.22610023869615,145.9259528752422,70732300,148.51029510498046,139.3083657836914
2023-03-06,151.6332550048828,154.06798373466975,151.26854354881283,151.59381779613093,87558000,148.4888801574707,139.73679260253905
2023-03-07,149.4351348876953,151.83042689733767,148.97184535612897,151.50513754277677,56182000,148.4938735961914,140.0592514038086
2023-03-08,150.68699645996094,151.2784344169459,149.6618543808646,150.62785567244086,47204800,148.41776504516602,140.4701315307617
2023-03-09,148.43954467773438,152.33313497413033,148.08468493947933,151.3671337581158,53833600,148.36363143920897,140.8433450317383
2023-03-10,146.37937927246094,148.78453780981002,145.5020893181875,148.06496662146847,68572400,148.25815963745117,141.21137832641602
2023-03-13,148.3212432861328,150.95311305935627,145.59079552733544,145.69922529511118,84457100,148.23154525756837,141.69678894042968
2023-03-14,150.41099548339844,151.20942619347872,147.95656256587642,149.11970482478546,73695900,148.16944732666016,142.15372161865236
2023-03-15,150.8052520751953,151.0615337650689,147.77908558210245,149.03095372752588,77167900,148.15909652709962,142.61224029541015
2023-03-16,153.62442016601562,154.22570978036399,149.47453364061312,149.98711209240733,76161100,148.18472595214843,143.22280792236327
2023-03-17,152.7865447998047,154.50170239485772,152.07682545294745,153.85112382009055,98944600,148.2483039855957,143.7912254333496
2023-03-20,155.1522674560547,155.5662829465371,151.94867858194203,152.85555389921097,73641400,148.48733978271486,144.43333435058594
2023-03-21,157.00546264648438,157.1237442200261,154.3045847371103,155.0734600878072,73938300,149.01962890625,145.0219598388672
2023-03-22,155.57618713378906,159.82463786522675,155.55646852262672,157.02519671590775,75701800,149.45926208496093,145.5715673828125
2023-03-23,156.66043090820312,159.24302685232914,155.4282812343858,156.56186795883147,67622100,149.92895736694337,146.13144226074218
2023-03-24,157.96156311035156,158.0502742629719,155.59584212848588,156.5914134921843,59196500,150.59628829956054,146.66301025390624
2023-03-27,156.0197296142578,158.47417734472043,155.61558088418133,157.6560281012329,52390300,151.10689315795898,147.1573162841797
2023-03-28,155.39871215820312,156.22672817707905,153.7525619849842,155.714149696992,45992200,151.61158142089843,147.61262939453124
2023-03-29,158.47418212890625,158.75018247951246,157.07446176772007,157.09416533498404,51305700,152.37354583740233,148.10622344970704
2023-03-30,160.04148864746094,160.1499184415396,158.9670575321584,159.22333929957506,49501700,153.18430252075194,148.64553344726562
2023-03-31,162.54519653320312,162.64377453412575,159.597903820846,160.12033413577524,68749800,153.86789932250977,149.23373718261718
2023-04-03,163.79705810546875,163.91533966892132,161.87490749491164,161.92419649331373,56976200,154.47608947753906,149.79579803466797
2023-04-04,163.26475524902344,164.45746763773894,162.75217680448466,164.22090454094308,46278300,155.16757049560547,150.28343627929686
2023-04-05,161.42147827148438,162.69306530915642,159.48947577581393,162.38749456021097,51511700,155.70429458618165,150.70625701904297
2023-04-06,162.30862426757812,162.60434321282244,159.686606015777,160.1104583059446,45390100,156.39774856567382,151.16000885009765
2023-04-10,159.71615600585938,159.71615600585938,157.79400566862077,159.11486640899105,47716900,157.06458740234376,151.5205746459961
2023-04-11,158.50372314453125,160.04144339602837,158.21785602238293,160.03159161422226,47644200,157.57371139526367,151.8181137084961
2023-04-12,157.81373596191406,159.7457382241708,157.49829842634344,158.9177372546322,50133100,157.94384841918946,152.15952758789064
2023-04-13,163.19578552246094,163.4323637150449,159.11490570596376,159.32191350458623,68445600,158.56337509155273,152.58318939208985
2023-04-14,162.8507537841797,163.9449032227771,161.48060404043056,162.23959735915352,49386500,159.02469177246093,152.97751159667968
2023-04-17,162.87045288085938,163.02817163401676,161.68759231395518,162.73245273206868,41516200,159.52888717651368,153.2661282348633
2023-04-18,164.0927734375,165.01935243982652,163.2844759960185,163.72806193096773,49923000,159.97591247558594,153.5067526245117
2023-04-19,165.2362060546875,165.7586363174907,163.17604035173306,163.43233711220313,47720200,160.3874496459961,153.82477142333985
2023-04-20,164.2701873779297,165.47276665465435,163.1957564794937,163.71818673436218,52456400,160.82214965820313,154.06599182128906
2023-04-21,162.66346740722656,164.0730393438838,162.14103717495192,162.69303779464673,58337300,161.1223014831543,154.3288168334961
2023-04-24,162.96905517578125,163.23520373133107,161.54961626736943,162.643765839196,41949600,161.37267608642577,154.6184216308594
2023-04-25,161.4313201904297,163.93504162144998,161.3918829793584,162.83104036567903,48714100,161.64325561523438,154.86997741699219
2023-04-26,161.42147827148438,162.91977666468185,160.47519563222698,160.73147738017352,45498800,161.94439392089845,155.06534790039063
2023-04-27,166.00506591796875,166.1529178634098,162.83104713478986,162.83104713478986,64902300,162.32093811035156,155.36520385742188
2023-04-28,167.25692749023438,167.424513091262,165.4826438930684,166.08393356927388,55275900,162.68171005249025,155.64810577392578
2023-05-01,167.168212890625,168.01593249804148,166.2317821133474,166.86264216717663,52472900,162.91286087036133,155.9611703491211
2023-05-02,166.13319396972656,167.91735928630777,165.14747425578494,167.6610625345139,48425700,163.02966766357423,156.27640319824218
2023-05-03,165.05877685546875,168.47922575134587,164.77292473257992,167.07950544573387,65136000,163.11936874389647,156.65038513183595
2023-05-04,163.42245483398438,164.65460440159984,161.96359395737636,162.53531316165655,81235400,163.21941757202148,156.9831637573242
2023-05-05,171.09140014648438,171.81097141948842,168.32151475691046,168.53837432535954,113453200,163.6585563659668,157.4596612548828
2023-05-08,171.02239990234375,171.36740787815765,169.65224986499234,170.0169614090474,55962800,164.223868560791,157.98781036376954
2023-05-09,169.31710815429688,171.06182151405454,169.14953757945023,170.5788283985824,45326900,164.7645378112793,158.4579998779297
2023-05-10,171.08151245117188,171.54480192353225,169.44521410372417,170.5492304195713,53724500,165.42792663574218,158.97353118896484
2023-05-11,171.268798828125,172.09679977091955,169.71135988855104,171.3673768150292,49514700,165.8315773010254,159.53420928955077
2023-05-12,170.34095764160156,171.8117019924622,168.79122976444327,171.3773829679925,45533100,166.2060874938965,160.06450134277344
2023-05-15,169.847412109375,170.97268634600138,169.2551561693846,170.92332917405315,37266700,166.55493545532227,160.483984375
2023-05-16,169.847412109375,170.903583292935,169.58089543020992,169.76844364659667,42110300,166.84266738891603,160.84826751708985
2023-05-17,170.4594268798828,170.6963172454511,168.21874344813716,169.4920894098534,57951600,167.10382843017578,161.2687533569336
2023-05-18,172.78890991210938,172.97645812210007,170.35081330561755,170.76538642479474,65496700,167.52976455688477,161.71079162597655
2023-05-19,172.8975067138672,174.11161490131875,172.68034719263906,174.11161490131875,55809500,168.0414665222168,162.19995086669923
2023-05-22,171.9499053955078,172.45332751081392,171.2095929310653,171.73274586766902,43570900,168.49050903320312,162.71136138916015
2023-05-23,169.343994140625,171.140492823502,169.06761204505847,170.89372201948225,50747300,168.8861427307129,163.13181640625
2023-05-24,169.62039184570312,170.19290197111815,168.31744971265542,168.88007936551583,45143500,169.29608840942382,163.51600433349608
2023-05-25,170.75552368164062,171.65375792303627,169.47231254318322,170.18301363335365,56058300,169.53361129760742,163.915009765625
2023-05-26,173.1639862060547,173.49960591702484,170.87396117733175,171.08125526170468,54835000,169.82896423339844,164.3058010864258
2023-05-30,175.00987243652344,176.6780456265802,174.28930584342234,174.6742677286896,55964400,170.22104721069337,164.75026763916014
2023-05-31,174.9604949951172,177.03337571367211,174.4768188110026,175.03946345752533,99625300,170.66241226196288,165.1464321899414
2023-06-01,177.76382446289062,177.79343575638538,174.64463768008144,175.40469602373648,68901800,171.29766464233398,165.56159942626954
2023-06-02,178.61268615722656,179.4319669478336,176.94451328757913,178.69165461361322,61996900,172.0571762084961,166.0223294067383
2023-06-05,177.26039123535156,182.56102285189482,175.7402747725204,180.27099781019854,121946500,172.36562576293946,166.43432861328125
2023-06-06,176.8951873779297,177.79342164547316,175.13816542041533,177.64536518975015,64848400,172.65926513671874,166.8130010986328
2023-06-07,175.5231475830078,178.86935913776645,175.02960596689772,176.135134367242,61944600,172.9695671081543,167.2030694580078
2023-06-08,178.2376251220703,178.50412674833163,175.1677956906412,175.60209965770608,50214900,173.3273727416992,167.65984771728515
2023-06-09,178.62255859375,179.87614324556046,178.29681937394096,179.15557682326966,48900000,173.69506072998047,168.06281524658203
2023-06-12,181.416015625,181.51472997018058,178.63244881890137,178.92857679274874,54274900,174.2488136291504,168.4903057861328
2023-06-13,180.9422149658203,181.7713612206094,180.08345742062403,180.4388079672042,54929100,174.80355377197264,168.85824615478515
2023-06-14,181.5739288330078,182.00824779635482,179.66886572578127,181.00141884147698,57462900,175.3898796081543,169.21378356933593
2023-06-15,183.6073455810547,184.11076766616947,181.4061542027307,181.5838370156226,65433200,176.0472755432129,169.62063537597658
2023-06-16,182.5314178466797,184.57468723659963,181.88981981135748,184.31803597311566,101256200,176.5344009399414,170.04283416748046
